	feature_id	feature_frequency	sample-id	run-number	community	composition
241	6fbff2e631ad779ad125dbc983204bd5	0.0	R46-16E18E-2	46	Mixed	16E18S
242	e1f281242137fc169c6ba32c60a24f7c	0.0	R46-16E18E-2	46	Mixed	16E18S
243	fc9b87da9803f982a1929248b3d6b910	0.0	R46-16E18E-2	46	Mixed	16E18S
244	92fa81110be84052a3e8e2729c422729	0.0	R46-16E18E-2	46	Mixed	16E18S
245	27971eab5e220ec682ca518590c7653f	0.0	R46-16E18E-2	46	Mixed	16E18S
246	4d23d2316dad8af1fb5dc8ba1c42dc5e	0.0	R46-16E18E-2	46	Mixed	16E18S
247	05281c96400ed2c9c72b86c11f19d2b4	0.0	R46-16E18E-2	46	Mixed	16E18S
248	0520a35049c4f7bacf6fc83406cc83df	0.0	R46-16E18E-2	46	Mixed	16E18S
249	4eb778980c1b9757c124a00065aff140	0.0	R46-16E18E-2	46	Mixed	16E18S
250	fc1c04929b0222ef5a0f5176fedbff06	0.0	R46-16E18E-2	46	Mixed	16E18S
251	113f2f06956f1e34937f7693e095820c	0.0	R46-16E18E-2	46	Mixed	16E18S
252	3b99f05cad7a5fe256f62a3d657ced30	0.0	R46-16E18E-2	46	Mixed	16E18S
253	f0880a579ab2b80feba96b73a7e082af	0.0	R46-16E18E-2	46	Mixed	16E18S
254	9b0b3b1b0b09f9947a87c69a31d7a925	0.0	R46-16E18E-2	46	Mixed	16E18S
255	3deb40086cf9e756c49889ff0ab3dc78	0.0	R46-16E18E-2	46	Mixed	16E18S
256	10be18fe5456dcc6355a9dc9fdfb3313	0.0	R46-16E18E-2	46	Mixed	16E18S
257	e744307535e8cd25e48d7cbacc979753	0.0	R46-16E18E-2	46	Mixed	16E18S
258	66d9cf2c2e12cfdad13e0ffa8ec11ce7	0.0	R46-16E18E-2	46	Mixed	16E18S
259	672c01ddf6f23a9ac0c42125d71ff1a0	0.0	R46-16E18E-2	46	Mixed	16E18S
260	dc7cd9961219f4ee8011bfc5d959293d	0.0	R46-16E18E-2	46	Mixed	16E18S
261	863728e1cec6befd5ba02d15baef4c36	1584.0	R46-16E18E-2	46	Mixed	16E18S
262	2970af3e30642198ba1dfa1f304f310b	1286.0	R46-16E18E-2	46	Mixed	16E18S
263	bdf18e8980906003f3978e5ee578c9ea	668.0	R46-16E18E-2	46	Mixed	16E18S
264	20a0d2f150b3312772f5c00e54fd7baf	2264.0	R46-16E18E-2	46	Mixed	16E18S
265	9c0fe787b120b62b93c3cb46d844d9fa	1639.0	R46-16E18E-2	46	Mixed	16E18S
266	0b7809b1b04598cfc5bbf6264159dde9	1102.0	R46-16E18E-2	46	Mixed	16E18S
267	86cd70d2450e3f44f4a7c543f53008ee	1173.0	R46-16E18E-2	46	Mixed	16E18S
268	32debaa2edfdd6b9fcefff9d65ff740f	1644.0	R46-16E18E-2	46	Mixed	16E18S
269	167b5b3eeed0f9b502f7f1f245d5116c	1513.0	R46-16E18E-2	46	Mixed	16E18S
270	b8b0859fd6afcfc39c1a7e6a50415ca3	1105.0	R46-16E18E-2	46	Mixed	16E18S
